Term,Tier 2,Est.,SE,P-value,Tier 3,Est. ,SE ,P-value 
(Intercept),2,0.7599128899839849,0.005324953083805619,0,3,4.945925914990088,0.0024763512967758646,0
Avg. Commute Time,2,0.296597061181859,0.13169919131273458,0.02431724264808839,3,0.7612469093356915,0.1876170516947929,4.9611317530944473e-5
Pct. Work in Government,2,-10.966203692704271,0.004998809440266589,0,3,-43.49203020835915,6.752088817932691e-4,0
Pct. Work in Retail,2,23.53114048607998,0.002303966141873629,0,3,45.96445706807769,0.0010900585303369385,0
Pct. Drove Car,2,-0.0385272303846573,0.05213713930246951,0.45993163709398516,3,-0.11812655635036612,0.06344071358617939,0.06260320653932272
Pct. Carpooled,2,-0.5229383187264144,0.22019107030418017,0.017552291463810397,3,-2.330625685612512,0.03413993399143871,0
Pct. Walked,2,1.5760701651362166,0.12230371878475793,5.360396751830835e-38,3,4.473292346445492,0.053287218183295564,0
Pct. Public Transit,2,-4.485231197899841,0.01213702546115739,0,3,4.9163568328709,0.009117862079876658,0
Pct. Other Transit,2,-1.5229505604096871,0.32334909302698717,2.4780576976884334e-6,3,-1.4320651886210118,0.07288941696395834,6.121958871752657e-86
Pct. Work out of State,2,-0.010806451691432009,0.039683669403818324,0.7853799541861197,3,0.15112558075110946,0.05806067874805861,0.00924415122996092
Pct. Live in Urban Area,2,3.4734906672134596,0.20921344570865383,6.671777990743871e-62,3,4.659034694695143,0.19220469605735227,8.437394556721179e-130
Pct. Drove:Pct. Urban,2,-0.03716897365385031,0.002354667831977369,3.932124779133743e-56,3,-0.05110387103284227,0.002380955479876501,3.4087763051570188e-102
Pct. Carpooled:Pct Urban,2,-0.03151730844931342,0.006747108508678727,2.9939870223971252e-6,3,-0.016960682758150943,0.009514372289512654,0.07464522986518206
Pct. Walked: Pct. Urban,2,-0.06229797712545895,0.005927198361212089,7.726077113003472e-26,3,-0.1582362704968573,0.012197309824962796,1.739749979277477e-38
Pct. Public Trans: Pct. Urban,2,0.13663827293712796,0.052468276956815725,0.009208702421405516,3,0.047146527567148495,0.053837750414470024,0.38118496893524506
